# hospitals: loc_id, x_coord, y_coord, costk1, costk2, costk3, capk1, capk2, capk3,
h1, 0, 10, 100, 200, 600, 3, 3, 8,
h2, 10, 10, -10, 0, 150, 3, 3, 5,
h3, 0, 40, 50, 250, 300, 3, 3, 5,
h4, 40, 10, 180, 200, 480, 3, 4, 5,
h5, 20, 20, 200, 300, 400, 3, 4, 5,
h6, 40, 40, 0, 200, 500, 1, 2, 4,
h7, 50, 45, 100, 150, 200, 1, 2, 2,
# existing hospitals: loc_id, closing_income,
h2, 100,
h6, 50,
# cities: loc_id, x_coord, y_coord,
c1, 20, 5,
c2, 25, 5,
c3, 0, 25,
c4, 40, 50,
c5, 5, 25,
c6, 40, 20,
c7, 30, 30,
c8, 65, 40,
c9, 20, 20,
c10, 10, 0,
c11, 10, 15,
# cities with minimum hospital size 2: loc_id,
c1,
c3,
c6,
c8,
