einwohner	plz	qkm	geometry
11286	66111	1.89495	POLYGON ((6.9825888 49.2423428, 6.9992672 49.2428478, 7.0151555 49.2331247, 7.0099609 49.2318271, 7.007914 49.2364743, 7.0017774 49.2290863, 6.994891800000001 49.2300965, 6.9923651 49.2334678, 6.9903956 49.2365612, 6.9828382 49.2369531, 6.9825888 49.2423428))
23110	66113	8.863799	POLYGON ((6.9948277 49.2617855, 6.9928359 49.2568629, 6.9980999 49.2525599, 7.0004178 49.2555134, 7.0024733 49.253628, 6.9992672 49.2428478, 6.9825888 49.2423428, 6.961202500000001 49.241224, 6.953357 49.2431749, 6.9565853 49.2484478, 6.9543663 49.2528249, 6.944428 49.2574339, 6.9533273 49.2665644, 6.9929775 49.2650276, 6.9948277 49.2617855))
18371	66115	30.957538	POLYGON ((6.9180128 49.2438254, 6.9200366 49.2529684, 6.9326828 49.2684275, 6.928886 49.2767313, 6.9319108 49.2826669, 6.9328205 49.2867154, 6.946239000000001 49.28625360000001, 6.953638 49.2912636, 6.9559517 49.2897498, 6.9586104 49.2974266, 6.967731 49.3047846, 6.9696045 49.314263, 6.983356 49.319977, 6.9894684 49.3185717, 6.9918604 49.3220676, 7.0067826 49.3115752, 7.0071206 49.3023387, 7.0166324 49.2953195, 7.0124909 49.2950113, 7.0124386 49.29026390000001, 7.0038243 49.2865388, 6.9940809 49.2773035, 7.0034445 49.2732307, 6.9948277 49.2617855, 6.9929775 49.2650276, 6.9533273 49.2665644, 6.944428 49.2574339, 6.9543663 49.2528249, 6.9565853 49.2484478, 6.953357 49.2431749, 6.961202500000001 49.241224, 6.9825888 49.2423428, 6.9828382 49.2369531, 6.9548948 49.23385270000001, 6.946428300000001 49.236816, 6.9180128 49.2438254))
14430	66117	9.324292	POLYGON ((6.9382298 49.2224477, 6.9443566 49.23463, 6.9420298 49.236965, 6.946428300000001 49.236816, 6.9548948 49.23385270000001, 6.9828382 49.2369531, 6.9903956 49.2365612, 6.9923651 49.2334678, 6.99136 49.2286926, 6.9884056 49.227474, 6.989081400000001 49.2297173, 6.983454500000001 49.23129890000001, 6.9827956 49.22780920000001, 6.9762004 49.2250231, 6.9809799 49.2232064, 6.9835251 49.211513, 6.9759499 49.2117449, 6.971610600000001 49.2091862, 6.958326700000001 49.2036067, 6.9399307 49.2167256, 6.9382298 49.2224477))
14836	66119	10.341434	POLYGON ((6.971610600000001 49.2091862, 6.9759499 49.2117449, 6.9835251 49.211513, 6.9809799 49.2232064, 6.9762004 49.2250231, 6.9827956 49.22780920000001, 6.983454500000001 49.23129890000001, 6.989081400000001 49.2297173, 6.9884056 49.227474, 6.99136 49.2286926, 6.9923651 49.2334678, 6.994891800000001 49.2300965, 7.0017774 49.2290863, 7.0185227 49.2205446, 7.0234088 49.2117603, 7.0183865 49.204956, 7.026166900000001 49.19702610000001, 7.0252766 49.1934293, 7.0215876 49.1932125, 7.0109133 49.18794960000001, 7.0089405 49.1940109, 6.9990204 49.19445020000001, 6.9926104 49.2008022, 6.971610600000001 49.2091862))
15169	66121	6.934108	POLYGON ((7.0017774 49.2290863, 7.007914 49.2364743, 7.0099609 49.2318271, 7.0151555 49.2331247, 7.0219523 49.2288617, 7.026660000000001 49.2316739, 7.032005000000001 49.2305522, 7.0351583 49.2328134, 7.031446900000001 49.2360542, 7.0437258 49.2436858, 7.0538461 49.24104490000001, 7.0521563 49.2280436, 7.065405 49.2292441, 7.0715173 49.2357101, 7.0778769 49.2370207, 7.0773692 49.2316586, 7.0706122 49.2275077, 7.0636011 49.2248979, 7.0522536 49.2258055, 7.0525331 49.2229057, 7.0469835 49.220068, 7.0422618 49.2212325, 7.0358889 49.2176349, 7.0281991 49.22107150000001, 7.0266076 49.2190739, 7.0185227 49.2205446, 7.0017774 49.2290863))
12664	66123	9.402541	POLYGON ((6.9948277 49.2617855, 7.002625 49.2621918, 7.008366000000001 49.2660397, 7.0126828 49.2639682, 7.0137899 49.2582358, 7.0223859 49.2551256, 7.0512124 49.2630219, 7.0540247 49.2575287, 7.0445946 49.2499687, 7.0437258 49.2436858, 7.031446900000001 49.2360542, 7.0351583 49.2328134, 7.032005000000001 49.2305522, 7.026660000000001 49.2316739, 7.0219523 49.2288617, 7.0151555 49.2331247, 6.9992672 49.2428478, 7.0024733 49.253628, 7.0004178 49.2555134, 6.9980999 49.2525599, 6.9928359 49.2568629, 6.9948277 49.2617855))
22383	66125	14.262596	POLYGON ((7.0038243 49.2865388, 7.014515 49.2832669, 7.0324296 49.2961108, 7.0542996 49.286922, 7.0620746 49.2717948, 7.0626344 49.2614383, 7.0512124 49.2630219, 7.0223859 49.2551256, 7.0137899 49.2582358, 7.0126828 49.2639682, 7.008366000000001 49.2660397, 7.002625 49.2621918, 6.9948277 49.2617855, 7.0034445 49.2732307, 6.9940809 49.2773035, 7.0038243 49.2865388))
5547	66126	4.658705	POLYGON ((6.9242285 49.2825695, 6.9319108 49.2826669, 6.928886 49.2767313, 6.9326828 49.2684275, 6.9200366 49.2529684, 6.9180128 49.2438254, 6.9081308 49.2462108, 6.9111163 49.2525652, 6.9042182 49.2627375, 6.9159826 49.2753514, 6.926505300000001 49.2802067, 6.9242285 49.2825695))
5546	66127	9.315982	POLYGON ((6.8962215 49.2450631, 6.9034404 49.2329687, 6.9074809 49.2333356, 6.9067645 49.2259205, 6.9114371 49.2262972, 6.9113966 49.2244944, 6.8985632 49.2220943, 6.8777882 49.2133436, 6.8591538 49.2227466, 6.837072600000001 49.2127518, 6.8326111 49.2140542, 6.8276387 49.221709, 6.835849000000001 49.2278094, 6.8486307 49.2327247, 6.8545546 49.2289299, 6.8599415 49.2318116, 6.8787485 49.2291675, 6.8883675 49.2370113, 6.8873519 49.2414878, 6.8901319 49.241691, 6.8862583 49.2429752, 6.8962215 49.2450631))
