einwohner	plz	qkm	geometry
11286	66111	1.89495	MULTIPOINT (6.998094448109275 49.23523606212669)
23110	66113	8.863799	MULTIPOINT (6.974118794208969 49.25379219310686)
18371	66115	30.957538	MULTIPOINT (6.975111694697827 49.28445798354662)
14430	66117	9.324292	MULTIPOINT (6.960669702747385 49.22040792633075)
14836	66119	10.341434	MULTIPOINT (7.002068867750125 49.21162591468915)
15169	66121	6.934108	MULTIPOINT (7.041812508723255 49.2287301087753)
12664	66123	9.402541	MULTIPOINT (7.022091333216705 49.24264553001463)
22383	66125	14.262596	MULTIPOINT (7.036674815118036 49.27765448836595)
5547	66126	4.658705	MULTIPOINT (6.917546396660261 49.26413193408375)
5546	66127	9.315982	MULTIPOINT (6.878207528180027 49.22135037651069)
6295	66128	8.527151	MULTIPOINT (6.920449088952807 49.23278115080148)
3362	66129	4.421518	MULTIPOINT (7.045232534555834 49.18254262086832)
11100	66130	18.176695	MULTIPOINT (7.073489789935344 49.19549497546696)
3553	66131	15.376703	MULTIPOINT (7.10882881118108 49.21476990299006)
4042	66132	7.879479	MULTIPOINT (7.085103418052238 49.22569535793064)
4086	66133	7.064473	MULTIPOINT (7.064407599219573 49.24467906958652)
18189	66265	40.071957	MULTIPOINT (6.942658751959614 49.34771957965874)
11419	66271	27.210866	MULTIPOINT (7.061071901249078 49.15323586558733)
16605	66280	16.058006	MULTIPOINT (7.067196242673687 49.29695550225894)
13504	66287	20.329491	MULTIPOINT (7.026376194305883 49.32341790573265)
14764	66292	14.667624	MULTIPOINT (6.945864995894484 49.30820128143624)
10377	66299	8.999188	MULTIPOINT (7.084552738342419 49.33182829878412)
38818	66333	67.021856	MULTIPOINT (6.759496391494711 49.19869924115783)
19204	66346	23.928854	MULTIPOINT (6.898137541240746 49.29048779897305)
8349	66352	25.280512	MULTIPOINT (6.822977640823025 49.1821238095507)
7099	66359	7.61248	MULTIPOINT (6.816435282754596 49.27802258177763)
36653	66386	49.918104	MULTIPOINT (7.133356294691124 49.2724519989403)
11146	66399	57.75288	MULTIPOINT (7.152189798705256 49.1896724557629)
41562	66424	82.230961	MULTIPOINT (7.345311454358372 49.33712632789124)
21247	66440	108.354694	MULTIPOINT (7.249468380767766 49.22635933195478)
18054	66450	31.231331	MULTIPOINT (7.26108597501953 49.35990365615395)
6784	66453	57.277397	MULTIPOINT (7.230710292565227 49.15184892289891)
10039	66459	31.186304	MULTIPOINT (7.263668801135675 49.29953272477132)
20341	66538	13.832806	MULTIPOINT (7.186086114654478 49.33946586582972)
12273	66539	25.925256	MULTIPOINT (7.222597256418654 49.31944386056767)
13630	66540	35.626303	MULTIPOINT (7.19396982523872 49.37469666163129)
17036	66557	36.449393	MULTIPOINT (7.045081725948587 49.38744194641177)
14960	66564	45.385365	MULTIPOINT (7.210729780304466 49.41469862608926)
17740	66571	46.75922	MULTIPOINT (6.968886197286214 49.40007882667943)
15999	66578	21.395578	MULTIPOINT (7.12079557832744 49.37525221730455)
13507	66583	11.430562	MULTIPOINT (7.153937605701759 49.31168444693773)
10244	66589	12.748606	MULTIPOINT (7.067951921077788 49.35394621050257)
26246	66606	113.276772	MULTIPOINT (7.183380974228166 49.46264407079838)
8870	66620	66.45615	MULTIPOINT (6.982437268715198 49.5928781128214)
10277	66625	101.752786	MULTIPOINT (7.068442614443678 49.57401419050382)
8277	66629	47.929381	MULTIPOINT (7.239986183221923 49.53672572351314)
12416	66636	57.779974	MULTIPOINT (7.006934200981014 49.48450924264365)
7424	66640	25.937364	MULTIPOINT (7.164648732492605 49.51538320932258)
10597	66646	39.859522	MULTIPOINT (7.065055255473505 49.44760047851862)
6164	66649	23.612783	MULTIPOINT (7.099200997046209 49.52372709136476)
29754	66663	109.028211	MULTIPOINT (6.627018270474585 49.44849020376763)
15926	66679	96.736041	MULTIPOINT (6.733610550519198 49.51140653558518)
16221	66687	111.044228	MULTIPOINT (6.895500667478192 49.54413392873893)
12210	66693	78.248795	MULTIPOINT (6.544878945999086 49.50818665696086)
15368	66701	51.693147	MULTIPOINT (6.746252861889355 49.42485761951949)
7791	66706	75.415294	MULTIPOINT (6.413183758214578 49.50898593442886)
6556	66709	33.642249	MULTIPOINT (6.808383697392431 49.55096668155768)
34520	66740	43.636429	MULTIPOINT (6.740579777457825 49.30507533725356)
20259	66763	21.816333	MULTIPOINT (6.732294742856978 49.36669387695981)
17348	66773	27.237101	MULTIPOINT (6.827790283872053 49.30841065920462)
14560	66780	61.520782	MULTIPOINT (6.638785174249871 49.37601927607284)
17942	66787	25.915692	MULTIPOINT (6.777048933561186 49.24740478279921)
13358	66793	41.673425	MULTIPOINT (6.841801642249485 49.35189691690522)
9500	66798	42.223937	MULTIPOINT (6.651358583704228 49.31706713201367)
11686	66802	34.032096	MULTIPOINT (6.708872354203042 49.26090630454372)
6555	66806	8.3878	MULTIPOINT (6.783212499259563 49.30370531354392)
9316	66809	22.503212	MULTIPOINT (6.793863298304678 49.39077178854156)
19527	66822	64.20396	MULTIPOINT (6.897602594236924 49.39769642653427)
16455	66839	58.627128	MULTIPOINT (6.836664745892711 49.43654062844035)
